状態効果ID	成分番号	値の種類	値分類	効果タイプ	条件	効果対象	参照	固定値	単位	スタック反映	攻撃タイプ	状態異常間隔秒	会心可否	最小倍率	最大倍率	計算対応	検証状態	備考
normal_attack_dmg_up	1	普通攻撃ダメージ	倍率	バフ	普通攻撃	付与対象	付与元		%	加算	普通攻撃			0.2		対応	要検証	クロエの例では7%/スタック
incoming_dmg_down	1	被ダメージ	倍率	バフ		付与対象	付与元		%	付与元依存				0.2		対応	要検証	負数としてダメージ量倍率グループへ加算
atk_spd_up	1	攻撃速度	倍率	バフ		付与対象	付与元		%	付与元依存						対応	要検証	
electrocution	1	攻撃速度	倍率	デバフ		付与対象	固定値	-20	%	加算						対応	検証済	1スタックごと
electrocution	2	移動速度	倍率	デバフ		付与対象	付与元		%	加算						未対応	要検証	
stun	1	行動可否	状態変更	デバフ		付与対象		0	可否	なし						未対応	一部検証済	
stun	2	SP自然回復	停止	デバフ		付与対象		0	可否	なし						未対応	一部検証済	
pain	1	苦痛ダメージ	倍率	攻撃		敵	攻撃力	12	%	付与元依存	苦痛	1	可			対応	検証済	
pain	2	HP回復量	倍率	デバフ		付与対象	固定値	-25	%	加算						未対応	検証済	1スタックごと
time_stop	1	行動可否	状態変更	デバフ		付与対象		0	可否	なし						未対応	要検証	
taunt	1	行動制限	基本攻撃限定	デバフ		付与対象	付与元		状態	なし	普通攻撃					未対応	一部検証済	付与元への基本攻撃のみ可能
silence	1	スキル可否	状態変更	デバフ		付与対象		0	可否	なし	スキル					未対応	一部検証済	SP回復は継続
frostbite	1	凍傷ダメージ	倍率	攻撃		敵	攻撃力	9	%	付与元依存	凍傷	1	可			対応	検証済	
frostbite	2	被ダメージ	倍率	デバフ	攻撃者が冷静	付与対象	固定値	8	%	加算				0.2		対応	検証済	1スタックごと
poison	1	毒ダメージ	倍率	攻撃		敵	攻撃力	6	%	付与元依存	毒	1	可			対応	検証済	
poison	2	与ダメージ	倍率	デバフ		付与対象	固定値	-11	%	加算				0.2		対応	検証済	1スタックごと
noise	1	与ダメージ	倍率	デバフ		付与対象	固定値	-50	%	付与元ごと加算				0.2		対応	検証済	
curse	1	転移ダメージ	被ダメージ割合	攻撃	別対象が存在	別の敵	被ダメージ	40	%	なし	魔法					未対応	検証済	元ダメージは物理・魔法不問。呪われた対象の残HPを上限にする
bind	1	歩行移動可否	状態変更	デバフ		付与対象		0	可否	なし						未対応	要検証	
blindfold	1	普通攻撃命中	状態変更	デバフ	普通攻撃	付与対象		0	可否	なし	普通攻撃					未対応	検証済	ダメージだけでなく付随効果も発生しない
burn	1	火傷ダメージ	倍率	攻撃		敵	攻撃力	30	%	付与元依存	火傷	1	可			対応	検証済	
atk_down	1	攻撃力	倍率	デバフ		付与対象	付与元		%	付与元依存						対応	要検証	
def_down	1	防御力	倍率	デバフ		付与対象	付与元		%	付与元依存						対応	要検証	
mag_def_down	1	魔法防御力	倍率	デバフ		付与対象	付与元		%	付与元依存						対応	要検証	
outgoing_dmg_down	1	与ダメージ	倍率	デバフ		付与対象	付与元		%	付与元依存				0.2		対応	検証済	日本語効果名は誤訳
skill_dmg_down	1	スキルダメージ	倍率	デバフ	スキル	付与対象	付与元		%	付与元依存	スキル			0.2		対応	要検証	
incoming_dmg_up	1	被ダメージ	倍率	デバフ		付与対象	付与元		%	付与元依存				0.2		対応	要検証	
atk_spd_down	1	攻撃速度	倍率	デバフ		付与対象	付与元		%	付与元依存						対応	要検証	
rage	1	与ダメージ	倍率	バフ		本人	固定値	40	%	加算				0.2		対応	検証済	1スタックごと、最大5
overcharge	1	スキルクールタイム	短縮	バフ		本人	付与元		%	加算						未対応	要検証	後方ドローン数に比例
overcharge	2	スキル強化	段階	バフ	3スタック	本人	付与元		段階	なし						未対応	要検証	
healthy_bunny	1	物理防御力	倍率	バフ		付与対象	付与元		%	付与元依存						対応	一部検証済	
healthy_bunny	2	会心抵抗	倍率	バフ		付与対象	付与元		%	付与元依存						対応	一部検証済	会心抵抗率への直接加算ではなくステータス補正
time_is_ally	1	体格	倍率	バフ	経過時間	付与対象	付与元		%	加算						未対応	要検証	
time_is_ally	2	与ダメージ	倍率	バフ	経過時間	付与対象	付与元		%	加算				0.2		対応	要検証	初期★1は22%、★2は11%/スタックとされる
time_is_ally	3	被ダメージ	倍率	バフ	経過時間	付与対象	付与元		%	加算				0.2		対応	要検証	初期★1は-2%、★2は-1%/スタックとされる
damage_fix	1	被ダメージ	固定値化	バフ		本人	固定値	1	ダメージ	なし						対応	検証済	最終ダメージを1に固定
jade_force	1	スキル強化	段階	バフ		本人	付与元		段階	加算						未対応	一部検証済	
magic_bullets	1	物理ダメージ	倍率	バフ		本人	付与元		%	加算	物理					対応	一部検証済	
magic_bullets	2	ヒット数	加算	バフ	低学年スキル	本人	付与元		回	加算	低学年スキル					対応	一部検証済	
outgoing_mag_dmg_up_unremovable	1	魔法与ダメージ	倍率	バフ		本人	付与元		%	付与元依存	魔法			0.2		対応	一部検証済	
incoming_dmg_down_unremovable	1	被ダメージ	倍率	バフ		本人	付与元		%	付与元依存				0.2		対応	要検証	
incoming_damage_fixed_down	1	被ダメージ	固定値減算	バフ		本人	付与元		固定値	なし						未対応	要検証	
handle_with_care	1	追加ダメージ	最大HP割合	攻撃	被ダメージ回数到達	本人	付与元		%	カウント						未対応	要検証	
electrocution_weakness	1	被ダメージ	倍率	デバフ	感電状態	本人	付与元		%	なし				0.2		対応	一部検証済	感電スタック数は参照しない
pain_weakness	1	被ダメージ	倍率	デバフ	苦痛状態	本人	付与元		%	なし				0.2		対応	一部検証済	苦痛スタック数は参照しない
status_damage_weakness	1	状態異常被ダメージ	その他倍率	デバフ	状態異常ダメージ	本人	付与元		%	なし	状態異常					対応	要検証	ケルベロスの具体値は敵プリセット側で1000%を指定
burn_status_weakness	1	被ダメージ	倍率	デバフ	火傷状態	本人	付与元		%	なし				0.2		対応	要検証	通常攻撃やスキルも含む被ダメージ増加
burn_damage_weakness	1	火傷被ダメージ	その他倍率	デバフ	火傷ダメージ	本人	付与元		%	なし	火傷					対応	要検証	火傷DOTだけに適用
relic_def_up	1	防御力	倍率	バフ		付与対象	付与元		%	付与元依存						対応	一部検証済	
yomi_moonflower	1	魔法攻撃力	倍率	バフ	同列	付与対象	付与元		%	付与元ごと加算						対応	検証済	
yomi_moonflower	2	被ダメージ	倍率	バフ	同列	付与対象	付与元		%	付与元ごと加算				0.2		対応	検証済	
cleanse_debuff	1	デバフ	解除	特殊	発動時	味方	解除区分		状態	即時						未対応	要検証	解除対象数や全解除かは付与元行で指定
dolls_will	1	基本攻撃	効果変更	バフ		本人	付与元		状態	なし	基本攻撃					未対応	一部検証済	
knockback	1	位置	後退	デバフ	命中時	敵	付与元		距離	即時						未対応	要検証	行動中断を伴う
dispel_buff	1	バフ	解除	特殊	発動時	敵	解除区分		状態	即時						未対応	検証済	解除可能バフのみ
mutate	1	行動可否	状態変更	デバフ		付与対象		0	可否	なし						未対応	要検証	
