分類	表示名	内部キー	別名	用途	値の扱い	メモ
参照	最大HPを超えたHP回復量	refOverHeal	最大HPを超えたHP回復量	参照	ref	オーバーヒール参照。
攻撃タイプ	物理	physical	物理;物理ダメージ	条件;攻撃タイプ	condition	物理攻撃/物理ダメージ条件。
攻撃タイプ	魔法	magic	魔法;魔法ダメージ	条件;攻撃タイプ	condition	魔法攻撃/魔法ダメージ条件。
攻撃タイプ	普通攻撃	normalAttack	通常攻撃;普通攻撃;基本攻撃;普通攻撃ダメージ	条件;攻撃タイプ	condition	普通攻撃対象なら基本攻撃/強化攻撃の扱いに注意。
攻撃タイプ	強化攻撃	enhancedAttack	強化攻撃;強化攻撃ダメージ	条件;攻撃タイプ	condition	強化攻撃時のみ。
攻撃タイプ	スキル	skill	スキル;スキルダメージ	条件;攻撃タイプ	condition	低学年/高学年など対象スキル列と併用。
攻撃タイプ	状態異常	statusDamage	状態異常;状態異常ダメージ	条件;攻撃タイプ	condition	毒など状態異常ダメージ。
対象	自分	self	着用者;本人;自分	効果対象	target	装備者本人。
対象	同列	sameLane	同列	効果対象	target	同じ列の味方。列判定が必要。
対象	前列	frontLane	前列	効果対象	target	前列対象。
対象	中列	middleLane	中列	効果対象	target	中列対象。
対象	後列	backLane	後列	効果対象	target	後列対象。
対象	前列かつガードタイプ	frontGuard	前列かつガードタイプ;前列かつ守備;前列かつ防御	効果対象	target	ガード/守備/防御の表記揺れ注意。内部roleは守備に寄せる。
対象	味方全体	allAllies	味方全体	効果対象	target	編成全体。
対象	対象の味方	targetAlly	対象の味方	効果対象	target	スキル対象依存。
対象	ランダムな味方1人	randomAlly	ランダム味方1人;ランダムな味方1人	効果対象	target	自動判定困難。通常は手動ON候補。
対象	残りSPが最も低い味方	lowestSpAlly	残りSPが最も低い味方	効果対象	target	自動判定困難。手動ON候補。
対象	敵	enemy	敵	効果対象	target	敵単体。
対象	敵全体	allEnemies	敵全体	効果対象	target	敵全体。
対象	周辺の敵	nearEnemies	周辺の敵	効果対象	target	範囲条件。手動ON候補。
対象	性格シナジー	personalitySynergy	性格シナジー	効果対象	target	性格判定+1系。
対象	コイン	coinTarget	コイン	効果対象	target	戦闘中コイン対象。
条件	戦闘開始時	battleStart	戦闘開始時;ウェーブ開始時	条件	condition	初期自動ONにしやすいが、カード選択/編成条件と併用注意。
条件	ウェーブ開始時	waveStart	ウェーブ開始時	条件	condition	ウェーブ開始時効果。
条件	敵を1体も倒していない時	noEnemyDefeated	敵を1体も倒していない時;敵を1体も倒していない場合	条件	condition	状況依存。初期ONは要検討。
条件	敵が1体しかいない場合	singleEnemy	敵が1体しかいない場合;敵が1体	条件	condition	敵数条件。敵設定と連動候補。
条件	低学年スキル使用時	lowSkillUse	低学年スキル使用時	条件	condition	選択スキルが低学年なら自動ON候補。
条件	高学年スキル使用時	highSkillUse	高学年スキル使用時	条件	condition	選択スキルが高学年なら自動ON候補。
条件	スキル使用時	skillUse	スキル使用時	条件	condition	スキル選択時に自動ON候補。
条件	スキルダメージ	skillDamage	スキルダメージ	条件	condition	与ダメージ加算系なら選択スキル条件。
条件	普通攻撃ダメージ	normalAttackDamage	普通攻撃ダメージ;通常攻撃ダメージ	条件	condition	普通攻撃系ダメージ条件。
条件	強化攻撃ダメージ	enhancedAttackDamage	強化攻撃ダメージ	条件	condition	強化攻撃系ダメージ条件。
条件	状態異常ダメージ	statusDamageCondition	状態異常ダメージ	条件	condition	状態異常ダメージ条件。
条件	被普通攻撃時	takenNormalAttack	被普通攻撃時	条件	condition	防御側条件。
条件	通常攻撃命中時	normalHit	通常攻撃命中時;普通攻撃命中時	条件	condition	普通攻撃命中トリガー。
条件	普通攻撃1回ごとに	normalEvery1	普通攻撃1回ごとに	条件	condition	普通攻撃回数条件。
条件	普通攻撃2回ごとに	normalEvery2	普通攻撃2回ごとに;基本攻撃が2回命中するたび	条件	condition	普通攻撃回数条件。
条件	普通攻撃3回ごとに	normalEvery3	普通攻撃3回ごとに;基本攻撃が3回命中するたび	条件	condition	普通攻撃回数条件。
条件	普通攻撃4回ごとに	normalEvery4	普通攻撃4回ごとに;基本攻撃が4回命中するたび	条件	condition	普通攻撃回数条件。
条件	普通攻撃5回ごとに	normalEvery5	普通攻撃5回ごとに;基本攻撃が5回命中するたび	条件	condition	普通攻撃回数条件。
条件	普通攻撃6回ごとに	normalEvery6	普通攻撃6回ごとに;基本攻撃が6回命中するたび	条件	condition	普通攻撃回数条件。
条件	普通攻撃スタック最大時	normalStackMax	普通攻撃スタック最大時	条件	condition	スタック最大条件。
条件	着用者のHPが50％以上	hpAbove50	着用者のHPが50％以上;HP50%以上	条件	condition	HP条件。手動ON候補。
条件	HPが40%以下になった場合	hpBelow40	HPが40%以下になった場合;HP40%以下	条件	condition	HP条件。手動ON候補。
条件	着用者にシールドが付与されている場合	hasShield	着用者にシールドが付与されている場合;シールド付与中	条件	condition	シールド状態条件。手動ON候補。
条件	シールド付与時	onShield	シールド付与時	条件	condition	シールド付与トリガー。
条件	対象を回復させた場合	onHealTarget	対象を回復させた場合（カード効果を除く）;対象を回復させた場合	条件	condition	回復トリガー。手動ON候補。
条件	カード選択時	cardSelected	カード選択時;カード時	条件	condition	手動ON候補。初期ONにしない。
条件	ランダム最低値	randomMin	ランダム最低値	条件	condition	ランダム効果の下限。
条件	ランダム最大値	randomMax	ランダム最大値	条件	condition	ランダム効果の上限。
条件	1秒ごとに	everySecond	1秒ごとに	条件	condition	継続効果。
条件	5秒ごと	every5Sec	5秒ごと;5秒ごとに	条件	condition	継続効果。
条件	1ウェーブ中	oneWave	1ウェーブ中	条件	condition	ウェーブ中制限。
非スタック	同効果非スタック	nonStacking	同効果非スタック;この効果はスタックしない	制御	boolean	同一効果を重複適用しない。
非スタック	同一使徒非スタック	nonStackingByApostle	同一使徒非スタック	制御	boolean	同じ使徒由来の同種効果を重複適用しない。
要確認	会心	critStatUnknown	会心	要確認	unknown	スキル/ステータス文脈では会心ステータス補正の可能性あり。カード効果では会心率として扱う場合が多い。
要確認	会心DMG	critDmgStatUnknown	会心DMG	要確認	unknown	スキル/ステータス文脈では会心DMGステータス補正の可能性あり。カード効果では会心ダメージ量として扱う場合が多い。
要確認	会心抵抗	critResStatUnknown	会心抵抗	要確認	unknown	スキルではステータス補正か直接被会心率減少か文面で分岐。
要確認	会心DMG抵抗	critDmgResStatUnknown	会心DMG抵抗	要確認	unknown	スキルではステータス補正か直接被会心ダメージ量減少か文面で分岐。
