使徒ID	参照HeroUID	戦闘力低学年係数	戦闘力高学年係数	戦闘力パッシブ係数	戦闘力アサイド係数	原HeroInfoアサイド係数	出典
Mayo	10039	0.02	0.02	0.02	0.7	0.0	sources/sep21/HeroInfo.json#/10039
Marie	10032	0.01	0.01	0.01	0.7	0.0	sources/sep21/HeroInfo.json#/10032
Mynx	10048	0.005	0.005	0.005	0.7	0.0	sources/sep21/HeroInfo.json#/10048
Maison	10047	0.005	0.005	0.005	0.7	0.0	sources/sep21/HeroInfo.json#/10047
Meluna	10033	0.01	0.01	0.01	0.7	0.0	sources/sep21/HeroInfo.json#/10033
Momo	10078	0.02	0.02	0.02	0.7	0.7	sources/sep21/HeroInfo.json#/10078
Yumimi	10050	0.01	0.01	0.01	0.7	0.0	sources/sep21/HeroInfo.json#/10050
Yomi	10092	0.02	0.02	0.02	0.7	0.7	sources/sep21/HeroInfo.json#/10092
Risty	10073	0.02	0.02	0.02	0.7	0.7	sources/sep21/HeroInfo.json#/10073
Leets	10065	0.02	0.02	0.02	0.7	0.0	sources/sep21/HeroInfo.json#/10065
Renewa	10054	0.02	0.02	0.02	0.7	0.0	sources/sep21/HeroInfo.json#/10054
Rim	10007	0.02	0.02	0.02	0.7	0.7	sources/sep21/HeroInfo.json#/10007
Rudd	10022	0.02	0.02	0.02	0.7	0.7	sources/sep21/HeroInfo.json#/10022
Rufo	10017	0.02	0.02	0.02	0.7	0.7	sources/sep21/HeroInfo.json#/10017
Layze	10044	0.01	0.01	0.01	0.7	0.0	sources/sep21/HeroInfo.json#/10044
Levi	10031	0.02	0.02	0.02	0.7	0.0	sources/sep21/HeroInfo.json#/10031
Rohne	10040	0.02	0.02	0.02	0.7	0.0	sources/sep21/HeroInfo.json#/10040
Rollett	10071	0.02	0.02	0.02	0.7	0.7	sources/sep21/HeroInfo.json#/10071
