id	カード名	effectId	効果処理グループID	処理順	値の種類	値分類	効果タイプ	攻撃分類	効果スタック	最大スタック	同効果非スタック	同一使徒非スタック	発動条件種別	発動条件値	発動元ID	適用条件種別	適用条件値	条件	効果対象	対象スキル	参照	randomId	持続時間秒	リセット条件種別	リセット条件値	リセット元ID	固定値	特殊効果_Star1	特殊効果_Star2	特殊効果_Star3	特殊効果_Star4	特殊効果_Star5
spell_strange_elixir	怪しいポーション	spell_strange_elixir_e01	spell_strange_elixir_proc01	1	毒	状態付与	デバフ				FALSE	FALSE	ウェーブ開始時					ウェーブ開始時	敵全体				星で変動									
spell_strange_elixir	怪しいポーション	spell_strange_elixir_e02	spell_strange_elixir_proc01	2	毒持続時間	持続時間	デバフ				FALSE	FALSE	ウェーブ開始時					ウェーブ開始時	敵全体				星で変動					12	15	18	21	24
spell_combat_master	バトルの達人	spell_combat_master_e01			与ダメージ増加	倍率	バフ	スキル			FALSE	FALSE						スキルダメージ	味方全体									6.8	8.3	9.8	11.3	12.8
spell_aroma_therapy	アロマセラピー	spell_aroma_therapy_e01			SP回復	倍率	回復				FALSE	FALSE	カード選択時		spell_aroma_therapy			カード選択時	残りSPが最も低い味方									100	100	100	100	100
spell_stealth_slacker	センター最高！	spell_stealth_slacker_e01			与ダメージ増加	倍率	バフ				FALSE	FALSE							味方中列									7	8	9	10	11
spell_stealth_slacker	センター最高！	spell_stealth_slacker_e02			被ダメージ減少	倍率	バフ				FALSE	FALSE							味方中列									5	6	7	8	9
spell_vanguard	前衛隊	spell_vanguard_e01			与ダメージ増加	倍率	バフ				FALSE	FALSE							味方前列									4	5	6	7	8
spell_vanguard	前衛隊	spell_vanguard_e02			被ダメージ減少	倍率	バフ				FALSE	FALSE							味方前列									8	9	10	11	12
spell_rear_guard	後衛隊	spell_rear_guard_e01			与ダメージ増加	倍率	バフ				FALSE	FALSE							味方後列									9	10	11	12	13
spell_rear_guard	後衛隊	spell_rear_guard_e02			被ダメージ減少	倍率	バフ				FALSE	FALSE							味方後列									3	8	8	9	9
spell_personality_mad	性格カード【狂気】	spell_personality_mad_e01			狂気性格判定+1	固定値	特殊				FALSE	FALSE	カード選択時		spell_personality_mad			カード選択時	性格シナジー									1	1	1	1	1
spell_personality_vivacious	性格カード【活発】	spell_personality_vivacious_e01			活発性格判定+1	固定値	特殊				FALSE	FALSE	カード選択時		spell_personality_vivacious			カード選択時	性格シナジー									1	1	1	1	1
spell_personality_innocent	性格カード【純粋】	spell_personality_innocent_e01			純粋性格判定+1	固定値	特殊				FALSE	FALSE	カード選択時		spell_personality_innocent			カード選択時	性格シナジー									1	1	1	1	1
spell_personality_depressed	性格カード【憂鬱】	spell_personality_depressed_e01			憂鬱性格判定+1	固定値	特殊				FALSE	FALSE	カード選択時		spell_personality_depressed			カード選択時	性格シナジー									1	1	1	1	1
spell_personality_composed	性格カード【冷静】	spell_personality_composed_e01			冷静性格判定+1	固定値	特殊				FALSE	FALSE	カード選択時		spell_personality_composed			カード選択時	性格シナジー									1	1	1	1	1
spell_get_her	あいつを捕まえろ！	spell_get_her_e01			攻撃力増加	倍率	バフ				FALSE	FALSE				ウェーブ番号	1	1ウェーブ中	味方全体									15	17.5	20	22.5	25
spell_random_coin	ランダムコイン	spell_random_coin_e01	spell_random_coin_draw	1	コイン獲得	固定値	特殊				FALSE	FALSE	カード選択時		spell_random_coin			カード選択時 / 出目分布未調査	コイン			spell_random_coin_amount										
spell_soda_capsule	ソーダ味カプセル	spell_soda_capsule_e01			SP回復	固定値	回復				FALSE	FALSE	カード選択時		spell_soda_capsule			カード選択時	味方全体									36	46	56	66	76
spell_strawberry_capsule	イチゴ味カプセル	spell_strawberry_capsule_e01			HP回復	倍率	回復				FALSE	FALSE	カード選択時		spell_strawberry_capsule			カード選択時	味方全体		対象の最大HP							15	16.5	18	19.5	21
