oldCardId	newCardId	oldEffectId	newEffectId
relic_tig_blazing_sword	artifact_tig_blazing_sword	max_stack	artifact_tig_blazing_sword_e02
relic_rudd_exercise_manual	artifact_rudd_exercise_manual	rudd_hp_recovery	artifact_rudd_exercise_manual_e01
relic_rollett_magic_hat	artifact_rollett_magic_hat	triple_enemy_skill_damage_boost	artifact_rollett_magic_hat_e01
relic_dragon_sword	artifact_dragonlight_sword	time_haste	artifact_dragonlight_sword_e01
relic_life_gem	artifact_life_gem	low_hp_self_heal	artifact_life_gem_e01
relic_30kg_kettlebell	artifact_30kg_kettlebell	skill_damage_up	artifact_30kg_kettlebell_e01
relic_30kg_kettlebell	artifact_30kg_kettlebell	normal_damage_down	artifact_30kg_kettlebell_e02
relic_assassin_book	artifact_assassin_scroll	blind_effect	artifact_assassin_scroll_e01
relic_safety_belt	artifact_safety_harness	opening_lane_shield	artifact_safety_harness_e01
relic_blue_grimoire	artifact_jade_codex	skill_damage_boost	artifact_jade_codex_e01
relic_blessed_pauldron	artifact_blessed_pauldrons	hp_regen	artifact_blessed_pauldrons_e01
relic_origin_grail	artifact_chalice_of_origins	normal_hit_sp_recover	artifact_chalice_of_origins_e01
relic_high_priest_censer	artifact_grail_of_origins	shield_received_up	artifact_grail_of_origins_e01
relic_madness_mask	artifact_fanatic_mask	aoe_fixed_damage	artifact_fanatic_mask_e01
relic_healing_pendant	artifact_healing_pendant	sp_regen	artifact_healing_pendant_e01
relic_obsidian_shuriken	artifact_obsidian_shuriken	normal_attack_damage_up	artifact_obsidian_shuriken_e01
relic_greed_ring	artifact_ring_of_greed	status_damage_up	artifact_ring_of_greed_e01
relic_oldwood_dagger	artifact_old_wooden_dagger	sp_regen	artifact_old_wooden_dagger_e01
relic_elf_staff	artifact_elven_wand	opening_shield	artifact_elven_wand_e01
relic_frost_charm	artifact_icy_charm	debuff_resist	artifact_icy_charm_e01
relic_frost_charm	artifact_icy_charm	cool_time	artifact_icy_charm_e02
relic_thorn_crown	artifact_crown_of_thorns	skill_damage_up	artifact_crown_of_thorns_e01
spell_alice_hex	spell_alice_fake_magic	alice_party_heal_min	spell_alice_fake_magic_e01
spell_alice_hex	spell_alice_fake_magic	alice_party_heal_max	spell_alice_fake_magic_e02
spell_alice_hex	spell_alice_fake_magic	alice_party_sp_min	spell_alice_fake_magic_e03
spell_alice_hex	spell_alice_fake_magic	alice_party_sp_max	spell_alice_fake_magic_e04
spell_epica_anthem	spell_epica_hero_exaltation	epica_grade_up	spell_epica_hero_exaltation_e01
spell_yiide_dream	spell_luc_ed_dream	yiide_frontline_reduce	spell_luc_ed_dream_e01
spell_yiide_dream	spell_luc_ed_dream	yiide_guard_def	spell_luc_ed_dream_e02
spell_renewa_time_paradox	spell_renewa_time_paradox	renewa_wave_damage_up	spell_renewa_time_paradox_e01
spell_suspicious_potion	spell_strange_elixir	suspicious_poison	spell_strange_elixir_e01
spell_suspicious_potion	spell_strange_elixir	suspicious_poisonDuration	spell_strange_elixir_e02
spell_battle_master	spell_combat_master	battle_master_skill_damage	spell_combat_master_e01
spell_aromatherapy	spell_aroma_therapy	aroma_full_sp	spell_aroma_therapy_e01
spell_center_best	spell_stealth_slacker	center_row_damage	spell_stealth_slacker_e01
spell_center_best	spell_stealth_slacker	center_row_reduce	spell_stealth_slacker_e02
spell_frontline	spell_vanguard	frontline_row_damage	spell_vanguard_e01
spell_frontline	spell_vanguard	frontline_row_reduce	spell_vanguard_e02
spell_backline	spell_rear_guard	backline_row_damage	spell_rear_guard_e01
spell_backline	spell_rear_guard	backline_row_reduce	spell_rear_guard_e02
spell_personality_madness	spell_personality_mad	madness_personality	spell_personality_mad_e01
spell_personality_lively	spell_personality_vivacious	lively_personality	spell_personality_vivacious_e01
spell_personality_pure	spell_personality_innocent	pure_personality	spell_personality_innocent_e01
spell_personality_gloomy	spell_personality_depressed	gloomy_personality	spell_personality_depressed_e01
spell_personality_calm	spell_personality_composed	calm_personality	spell_personality_composed_e01
spell_catch_him	spell_get_her	catch_him_wave	spell_get_her_e01
spell_random_coin	spell_random_coin	random_coin_coin_min	spell_random_coin_e01
spell_random_coin	spell_random_coin	random_coin_coin_max	spell_random_coin_e02
spell_soda_capsule	spell_soda_capsule	soda_capsule_sp	spell_soda_capsule_e01
spell_strawberry_capsule	spell_strawberry_capsule	strawberry_capsule_heal	spell_strawberry_capsule_e01
